hard||Po prvním|použití zbraň|nezahazuj
anger||Zaútoč hned|i druhou|zbraní
swap||Před útokem|se prohoď|s jiným hrdinou
lure||Přilákej příšeru|z jiného|pole mapy
steal||Novou zbraň|si pak vem|z ruky hráče
haiku_02|Dopadne úder,|nebe se trhá,|hory se hroutí,|bohové mlčí.
haiku_03|Trn hledá srdce,|touží bodnout hlouběji,|rudý opar zastře zrak,|do prázdna se směji.
haiku_04|Ledový vítr,|šíp mizí v mlze,|ocelová mračna|blesk rozsekl v půli.
haiku_05|Jiskra padlé hvězdy,|žár dýchá v kleci,|tmu prořízne světlo,|nikdo nezvládne utéci.
haiku_06|Křehký je osud,|když shoří naděje,|vše se vytratí,|pak srdce se vzdá.
haiku_11|Všepohltcující je hrůza,|zrychlí dech, sváže mysl,|odvaha ve mě vzrůstá,|zastaví démonů běh.
haiku_12|Hrom otřese zemí,|hrot udává směr,|stvůry se hroutí|do chřtánu hlubin.
haiku_13|Led ukrytý v trnu,|stíny tančí nocí,|záře roztrhne tmu,|tep času zamrzá.
haiku_14|Zlo klesne na kolena,|přemožené nestrvůry|marně budou prosit,|hle, přichází jejich pád.
haiku_15|Hrot pálí jak vina,|žár doprovází boj,|má cesta září jasně,|vše zakryje smrti závoj.
haiku_22|Staré strachy promluví,|dozvuky minulosti|zavibrují a zamrznou,|teď se vše rozhodne. 
haiku_23|Paprsek spletený do run,|zpečetěný na věčnost,|jen stíny a můj dech,|sám si píšu svůj osud.
haiku_24|Jako had jsem úskočný,|před tichým šipem,|nepřijde varování|a uštkne znenadání.
haiku_25|Volání hlubin,|jsoucno se tříští,|život se láme,|mrtvo je na bojišti.
haiku_26|Smršť ohně a trnů,|nebe zadrží dech,|vítr rozsévá hněv,|pád je nevyhnutelný.
haiku_31|Slyš oslavnou hymnu,|chorál zní k výšinám,|pozvedni svoji zbraň,|nemrtví mizí v bázni.
haiku_32|Volám tě, stíne,|přines mi sílu,|klid své duše|vykoupím krví.
haiku_33|Blesk se ze tmy zjeví,|hrom zazní jako zpěv,|palice se uklání|a úder propustí hněv.
haiku_34|Vzplane rudé světlo,|luna se napije krve,|do tmy směle vkročím,|nad nocí teď vládnu.
haiku_35|Ve slepé hodině zazářím,|v kameni pulzuje krev,|strach se zhmotní,|přede mnou není úkrytu.
haiku_42|Ocel a pradávné runy,|nesmírná je síla slov,|moudrost a umění války|vše ve zmar obrátí.
haiku_43|Závoj klesne níže,|jasný křišťál zašeptá,|kreslí chladný tah,|zima přijde blíže.
haiku_44|Slyš ticho věků,|hlas bez ozvěny,|já volám prázdno|a ono mi odpoví. 
haiku_45|Řetězy prasknou,|oheň se rozlije,|běsy se vyhrnou,|popel vše zakryje.
haiku_46|Sféra vězní bouři,|hněv držený na řetězu,|obrátí se v plamen|a smrt v tanci krouží.
haiku_51|Plamen líbá mráz,|žár v ledu spí,|úder tříští svět,|čas ztrácí vládu.
haiku_52|Černé ostří šeptá,|potají sbírá sílu,|lebky v něm spí,|a duše křičí.
haiku_53|Ledová záře|tančí na čepeli,|smrt v ostří spí,|v jediném úderu konec.
haiku_53|Motýlí mávnutí,|jen drobný čin.|Zrod bouře vynutí,|povede k vítězství.
haiku_54|Ledový dech|a srdce ze zlata.|Když se obnaží,|krev mrzne strachem.
haiku_55|Čekám vždy po ruce,|připraven zasáhnout,|v boji hořím jak oheň,|nepřátele obrátím v popel.
haiku_62|Trůny se otřesou,|koruny ztrácí lesk,|rovnováha je vrtkavá|a majestát pomíjivý.
haiku_63|Zlaté runy září,|meč v srdci nese|moudrost hvězd,|věčný ochránce bdí.
haiku_64|Předci kráčí po boku,|vázáni pradávným slibem,|tíha rodu dál přetrvává,|dědictví neuhasne.
haiku_65|Skrytý plameni,|jenž sevře dech,|rozsviť mou cestu,|než přijde konec.
haiku_66|Vichr snese mstu,|plameny víří v jádru,|žár si hledá cestu,|zkáza zraje v pouzdru.
haiku_71|Letím s větrem,|za sebou popel,|šíp je modlitba,|co pálí hříchy.
haiku_72|Ektoplazma houstne,|tětiva šeptá jména,|duše trnou strachem,|neb jejich konec je tu.
haiku_74|Blesky na tětivě,|z ticha padá zkáza,|jako bouře zuřím,|přesný a nemilosrdný.
haiku_73|Sníh tiše klesá,|tětiva zní jasně,|rozhrnou se nebesa,|na živu jsi dočasně.
haiku_75|Vrásky stáří na dřevě,|šíp protne vzduch,|Zubaté, té neutečem,|a uzavře se kruh.









